iter	Passed	Remaining
724	2288	868
725	2290	864
726	2291	860
727	2293	856
728	2294	852
729	2295	849
730	2299	846
731	2302	842
732	2304	839
733	2307	836
734	2308	832
735	2310	828
736	2311	825
737	2315	822
738	2317	818
739	2318	814
740	2320	810
741	2321	807
742	2323	803
743	2324	799
744	2326	796
745	2327	792
746	2331	789
747	2332	785
748	2334	782
749	2335	778
750	2337	774
751	2338	771
752	2340	767
753	2341	764
754	2343	760
755	2345	756
756	2346	753
757	2348	749
758	2349	746
759	2350	742
760	2352	738
761	2354	735
762	2355	731
763	2359	728
764	2360	725
765	2362	721
766	2363	718
767	2365	714
768	2367	711
769	2368	707
770	2369	703
771	2371	700
772	2375	697
773	2378	694
774	2380	690
775	2382	687
776	2384	684
777	2390	682
778	2394	679
779	2396	675
780	2398	672
781	2406	670
782	2408	667
783	2411	664
784	2413	660
785	2414	657
786	2416	653
787	2425	652
788	2427	649
789	2429	645
790	2432	642
791	2440	641
792	2443	637
793	2444	634
794	2446	630
795	2447	627
796	2456	625
797	2459	622
798	2461	619
799	2463	615
800	2466	612
801	2470	610
802	2472	606
803	2473	603
804	2474	599
805	2476	596
806	2477	592
807	2479	589
808	2484	586
809	2486	583
810	2487	579
811	2489	576
812	2490	572
813	2492	569
814	2493	566
815	2498	563
816	2500	560
817	2502	556
818	2505	553
819	2507	550
820	2508	546
821	2510	543
822	2512	540
823	2513	536
824	2515	533
825	2516	530
826	2518	526
827	2519	523
828	2521	520
829	2522	516
830	2526	513
831	2528	510
832	2529	507
833	2531	503
834	2532	500
835	2533	497
836	2535	493
837	2537	490
838	2538	487
839	2540	483
840	2541	480
841	2543	477
842	2544	473
843	2546	470
844	2547	467
845	2548	463
846	2550	460
847	2551	457
848	2555	454
849	2557	451
850	2558	447
851	2559	444
852	2561	441
853	2562	438
854	2564	434
855	2565	431
856	2567	428
857	2569	425
858	2570	421
859	2572	418
860	2573	415
861	2575	412
862	2576	409
863	2578	405
864	2579	402
865	2583	399
866	2585	396
867	2588	393
868	2590	390
869	2591	387
870	2593	384
871	2594	380
872	2598	378
873	2600	374
